cvss,vuln_age_days,access_vector_enc,access_complexity_enc,access_authentication_enc,impact_confidentiality_enc,impact_integrity_enc,impact_availability_enc,cwe_group_enc,kw_remote,kw_code_exec,kw_priv_esc,kw_dos,true_label,ai_risk_score
6.8,8402,3,2,2,2,2,0,2,1,0,0,0,1,0.9999999999999838
4.3,4177,3,2,2,2,2,0,3,1,0,0,0,1,0.9999999999999831
8.5,3375,3,2,2,2,2,0,3,1,0,0,0,1,0.999999999999982
6.8,3375,3,2,2,2,2,0,3,1,0,0,0,1,0.999999999999982
7.1,8037,3,1,2,2,2,0,3,1,0,0,0,1,0.9999999999999751
9.3,2511,3,2,2,2,2,0,0,0,0,0,0,1,0.9999999999999698
3.5,4092,3,2,2,2,2,1,3,1,0,0,0,1,0.9999999999994855
5.0,2871,3,2,1,2,2,0,3,0,0,0,0,1,0.9999999999987985
10.0,6551,3,2,1,2,2,0,3,1,0,0,0,1,0.9999999999986591
10.0,2949,3,2,1,2,2,0,3,1,0,0,0,1,0.9999999999982361
6.8,6522,3,1,1,2,2,0,3,1,0,0,0,1,0.9999999999973461
4.3,9179,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999928244
4.9,6481,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999911884
6.8,6376,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999911178
4.3,6238,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999910238
4.3,6117,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999909408
6.5,5953,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999908271
6.8,9494,3,2,2,2,2,2,2,0,0,0,0,1,0.9999999999907181
5.0,5732,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999906715
9.3,6560,3,2,2,2,2,2,3,0,0,0,1,1,0.9999999999905957
4.0,5531,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999905276
6.5,5312,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999903684
2.1,5257,3,2,2,2,2,2,3,0,0,0,0,1,0.999999999990328
3.5,5068,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999901876
5.4,4880,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999900462
7.6,4768,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999899611
5.0,4739,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999899389
7.6,4739,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999899389
5.0,4705,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999899127
6.5,4705,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999899127
10.0,4486,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999897431
9.3,4369,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999896514
4.3,4271,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999895739
6.5,4159,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999894846
9.3,4159,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999894846
4.3,4131,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999894622
6.9,4068,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999894116
4.9,3995,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999893525
4.0,3948,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999893143
5.0,3881,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999892597
5.0,3823,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999892122
10.0,3823,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999892122
5.0,3823,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999892122
6.5,3803,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999891958
4.3,3803,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999891958
6.8,3803,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999891958
4.3,3803,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999891958
10.0,3803,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999891958
5.0,3803,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999891958
4.3,3793,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999891875
6.8,3675,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999890901
7.5,3645,3,2,2,2,2,2,3,0,0,0,0,1,0.999999999989065
5.0,3582,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999890126
7.5,3522,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999889622
6.8,3515,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999889562
6.8,3396,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999888558
7.5,3396,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999888558
5.0,3393,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999888531
4.3,3367,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999888312
7.5,3367,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999888312
7.5,3367,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999888312
4.3,3366,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999888303
7.1,3303,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999887765
5.4,8402,3,2,2,2,2,2,3,1,0,0,0,1,0.9999999999887568
4.3,4202,3,2,2,2,2,2,3,0,0,0,1,1,0.9999999999887466
4.3,3257,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999887372
4.3,3221,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999887064
8.5,3206,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999886935
5.0,3206,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999886935
6.8,3185,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999886753
4.3,3143,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999886391
5.4,3129,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999886269
5.0,3102,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999886036
7.8,3089,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999885922
4.3,3058,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999885654
10.0,3058,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999885654
4.7,3058,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999885654
3.5,3058,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999885654
4.0,3058,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999885654
5.0,3058,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999885654
5.0,3058,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999885654
4.3,3058,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999885654
7.5,3058,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999885654
6.2,3058,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999885654
5.8,3058,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999885654
4.3,3058,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999885654
4.3,3058,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999885654
6.5,3989,3,2,2,2,2,2,3,0,0,0,1,1,0.9999999999885627
5.4,3972,3,2,2,2,2,2,3,0,0,0,1,1,0.9999999999885478
7.5,3012,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999885252
6.8,3010,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999885234
1.9,2989,3,2,2,2,2,2,3,0,0,0,0,1,0.999999999988505
4.3,2983,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999884999
6.8,2949,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999884701
7.2,2945,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999884666
7.5,2927,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999884508
4.3,2845,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999883784
6.8,2829,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999883642
5.5,2829,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999883642
