cve_id,cvss,vuln_age_days,ai_risk_score,true_label,ai_priority
CVE-2017-14837,6.8,2934,0.002964918474844358,0,Low
CVE-2016-10508,4.3,3045,1.5501441515185155e-12,0,Low
CVE-2019-17625,8.5,2269,0.9999999666226409,1,Critical
CVE-2008-3667,6.8,6350,0.0029025673967015293,0,Low
CVE-2019-0001,7.1,2542,8.92035788892043e-12,0,Low
CVE-2008-0948,9.3,6497,0.9999999999240479,1,Critical
CVE-2019-10360,3.5,2346,4.732957282012528e-14,0,Low
CVE-2003-1512,5.0,8037,9.656250073603981e-18,0,Low
CVE-2011-2653,10.0,5138,0.9999999999855853,1,Critical
CVE-2015-7915,10.0,3617,0.9999999999838156,1,Critical
CVE-2017-16586,6.8,2934,0.002964918474844358,0,Low
CVE-2017-18006,4.3,2922,2.268073171270815e-12,0,Low
CVE-2015-4105,4.9,3864,1.081617236745762e-25,0,Low
CVE-2017-15751,6.8,2993,0.0030915839406514623,0,Low
CVE-2018-9990,4.3,2815,2.2496730977561282e-12,0,Low
CVE-2017-7716,4.3,3186,2.1529626731726266e-18,0,Low
CVE-2018-15149,6.5,2696,3.443625050481204e-05,0,Low
CVE-2019-15841,6.8,2316,0.004172589113436996,0,Low
CVE-2011-4756,5.0,5130,1.0119114121732623e-11,0,Low
CVE-2016-10667,9.3,2768,0.9999999994105739,1,Critical
CVE-2017-1286,4.0,2698,6.258848493917493e-14,0,Low
CVE-2007-2230,6.5,6826,4.715816249735694e-05,0,Low
CVE-2016-9105,2.1,3309,3.5191514619272266e-32,0,Low
CVE-2018-6858,3.5,2880,4.9293284274458946e-14,0,Low
CVE-2014-7690,5.4,4090,3.5735559183991417e-10,0,Low
CVE-2012-0637,7.6,5046,0.9999996424748457,1,Critical
CVE-2014-6424,5.0,4121,7.16699754797026e-18,0,Low
CVE-2018-0935,7.6,2850,0.9999951687565897,1,Critical
CVE-2011-3744,5.0,5213,1.0183255712726928e-11,0,Low
CVE-2016-1141,6.5,3624,6.487537283997223e-05,0,Low
CVE-2017-3077,10.0,3117,0.9999999998746423,1,Critical
CVE-2012-4354,9.3,4882,0.999999999939625,1,Critical
