cvss,vuln_age_days,access_vector_enc,access_complexity_enc,access_authentication_enc,impact_confidentiality_enc,impact_integrity_enc,impact_availability_enc,cwe_group_enc,kw_remote,kw_code_exec,kw_priv_esc,kw_dos
10.0,7519,3,2,2,2,2,2,2,1,0,0,0
10.0,6872,3,2,2,2,2,2,3,0,0,0,0
10.0,2235,0,-1,-1,0,0,0,3,0,0,0,0
10.0,8402,3,2,2,2,2,2,3,1,0,0,0
10.0,2904,3,2,2,2,2,2,3,0,0,0,0
10.0,2923,3,2,2,2,2,2,3,1,0,0,0
10.0,2848,3,2,2,2,2,2,2,0,0,0,0
10.0,2935,3,2,2,2,2,2,3,1,0,0,0
10.0,2935,3,2,2,2,2,2,3,1,0,0,0
10.0,2954,3,2,2,2,2,2,3,1,0,0,0
10.0,2962,3,2,2,2,2,2,3,0,0,0,0
10.0,2911,3,2,2,2,2,2,3,1,0,0,0
10.0,2977,3,2,2,2,2,2,3,0,0,0,0
10.0,6242,3,2,2,2,2,2,2,1,0,0,0
10.0,6615,3,2,2,2,2,2,2,0,0,0,0
10.0,6621,3,2,2,2,2,2,0,0,0,0,0
10.0,6601,3,2,2,2,2,2,2,1,0,0,0
10.0,6299,3,2,2,2,2,2,3,1,0,0,1
10.0,6533,3,2,2,2,2,2,2,1,0,0,1
10.0,6621,3,2,2,2,2,2,0,1,0,0,0
10.0,6601,3,2,2,2,2,2,2,1,0,0,1
10.0,6650,3,2,2,2,2,2,3,1,0,0,0
10.0,6104,3,2,2,2,2,2,3,1,0,0,1
10.0,6098,3,2,2,2,2,2,3,1,0,0,0
10.0,7549,3,2,2,2,2,2,3,1,0,0,0
10.0,6153,3,2,2,2,2,2,3,1,0,0,0
10.0,6153,3,2,2,2,2,2,3,1,0,0,1
10.0,6231,3,2,2,2,2,2,3,1,0,0,0
10.0,6153,3,2,2,2,2,2,3,1,0,0,0
10.0,6153,3,2,2,2,2,2,3,1,0,0,0
10.0,6182,3,2,2,2,2,2,2,1,0,0,0
10.0,6250,3,2,2,2,2,2,3,1,0,0,0
10.0,3159,3,2,2,2,2,2,3,0,0,0,0
10.0,2989,3,2,2,2,2,2,3,0,0,0,0
10.0,2999,3,2,2,2,2,2,0,0,0,0,0
10.0,2999,3,2,2,2,2,2,0,0,0,0,0
10.0,2868,3,2,2,2,2,2,3,0,0,0,0
10.0,2794,3,2,2,2,2,2,3,0,0,0,0
10.0,2794,3,2,2,2,2,2,3,0,0,0,0
10.0,2794,3,2,2,2,2,2,3,0,0,0,0
10.0,2794,3,2,2,2,2,2,3,0,0,0,0
10.0,2794,3,2,2,2,2,2,3,0,0,0,0
10.0,2794,3,2,2,2,2,2,3,0,0,0,0
10.0,2794,3,2,2,2,2,2,3,0,0,0,0
10.0,2794,3,2,2,2,2,2,3,0,0,0,0
10.0,6055,3,2,2,2,2,2,3,0,0,0,0
10.0,6009,3,2,2,2,2,2,3,1,0,0,1
10.0,6033,3,2,2,2,2,2,2,1,0,0,0
10.0,6141,3,2,2,2,2,2,2,1,0,0,1
10.0,6069,3,2,2,2,2,2,3,1,0,0,0
10.0,3032,3,2,2,2,2,2,3,1,1,0,0
10.0,3255,3,2,2,2,2,2,3,1,0,0,0
10.0,3221,3,2,2,2,2,2,3,0,0,0,0
10.0,2983,3,2,2,2,2,2,3,0,0,0,0
10.0,3028,3,2,2,2,2,2,0,0,0,0,0
10.0,3028,3,2,2,2,2,2,0,0,0,0,0
10.0,2955,3,2,2,2,2,2,3,0,0,0,0
10.0,3049,3,2,2,2,2,2,3,0,0,1,0
10.0,2910,3,2,2,2,2,2,2,1,1,0,0
10.0,2948,3,2,2,2,2,2,3,1,1,0,0
10.0,2969,3,2,2,2,2,2,3,1,0,0,0
10.0,5953,3,2,2,2,2,2,2,1,0,0,0
10.0,5953,3,2,2,2,2,2,3,1,0,0,0
10.0,5965,3,2,2,2,2,2,2,0,0,0,0
10.0,5994,3,2,2,2,2,2,3,1,0,0,0
10.0,5994,3,2,2,2,2,2,2,1,0,0,1
10.0,5988,3,2,2,2,2,2,3,0,0,0,0
10.0,5979,3,2,2,2,2,2,3,1,0,0,0
10.0,6232,3,2,2,2,2,2,3,1,0,0,0
